$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3,#ImageLink4
A14FC1,N184CG,Private,Vans RV-8,RV8,Civ,Homemade,You Came Here in That?,Daredevil,Kits,https://w.wiki/B63h,https://www.airhistory.net/photo/119221/N184CG,,,
A1F100,N224MR,Private,Vans RV-8,RV8,Civ,Homemade,You Came Here in That?,Daredevil,Kits,https://w.wiki/B63h,,,,
A23A5D,N2424M,Private,Vans RV-9,RV9,Civ,Homemade,You Came Here in That?,Daredevil,Kits,https://w.wiki/B6wp,,,,
A344C6,N31DC,Private,Vans RV-8,RV8,Civ,Homemade,You Came Here in That?,Daredevil,Kits,https://w.wiki/B63h,,,,
A86435,N64PP,Three Aces,Vans RV-6,RV6,Civ,Homemade,You Came Here in That?,Daredevil,Kits,https://w.wiki/B6Vp,https://cdn.jetphotos.com/full/6/1749997_1699443887.jpg,,,
AC707F,N900PP,Private,Vans RV-8,RV8,Civ,Homemade,You Came Here in That?,Daredevil,Kits,https://w.wiki/B63h,https://cdn.jetphotos.com/full/6/55163_1618608897.jpg,,,
ACB070,N9168L,Private,Vans RV-6,RV6,Civ,Homemade,You Came Here in That?,Daredevil,Kits,https://w.wiki/B6Vp,,,,
AC3C87,N888L,Private,Lancair ES,LNCE,Civ,Homemade,You Came Here in That?,Daredevil,Kits,https://w.wiki/B9nh,https://cdn.jetphotos.com/full/5/96331_1546322888.jpg,,,
AC1BC2,N88CV,Private,Vans RV-8,RV8,Civ,Homemade,You Came Here in That?,Daredevil,Kits,https://w.wiki/B63h,,,,
A815C4,N62VE,Private,Vans RV-7,RV7,Civ,Homemade,You Came Here in That?,Daredevil,Kits,https://w.wiki/B9uM,https://cdn.jetphotos.com/full/5/1442689_1714468041.jpg,,,
A5E7F3,N48TK,Private,Zenair CH-600,CH60,Civ,Homemade,You Came Here in That?,Daredevil,Kits,https://w.wiki/B9uh,,,,
